110 1.928746 4.705674
190 1.948151 3.746921
204 1.910796 5.592546
215 1.881465 7.041702
221 1.956092 3.354572
245 1.935138 4.389847
217 1.940850 4.107634
228 1.954351 3.440606
217 1.844931 8.846749
215 1.903829 5.936764
274 1.894887 6.378554
241 1.925553 4.863431
167 1.945747 3.865681
237 1.874587 7.381539
235 1.852880 8.454005
226 1.865702 7.820521
248 1.921377 5.069770
270 1.895883 6.329333
264 1.940144 4.142512
264 1.859967 8.103868
286 1.870716 7.572814
274 1.842895 8.947358
184 1.949907 3.660147
259 1.835989 9.288561
290 1.961243 3.100072
283 1.927758 4.754497
284 1.985607 1.896306
296 1.957267 3.296510
287 1.830193 9.574931
279 1.909381 5.662456
310 2.008182 0.780960
289 1.966113 2.859465
306 1.917705 5.251169
183 1.936865 4.304534
318 1.853306 8.432984
221 1.900483 6.102085
345 1.914975 5.386077
342 1.932202 4.534904
181 1.940028 4.148285
342 1.949258 3.692242
324 1.838134 9.182606
222 1.828138 9.676446
231 1.869198 7.647771
335 1.925813 4.850591
336 1.837148 9.231312
205 1.972019 2.567667
359 1.956815 3.318848
370 1.942829 4.009850
186 1.829013 9.633250
225 1.883994 6.916780
395 1.942847 4.008964
374 1.912206 5.522887
164 1.864026 7.903317
270 1.870462 7.585330
failed to find solution in 1200 iterations and 363 function evals
383 1.932435 4.523426
198 1.905359 5.861174
failed to find solution in 1200 iterations and 384 function evals
8 1.866932 7.759752
failed to find solution in 1200 iterations and 394 function evals
failed to find solution in 1200 iterations and 413 function evals
failed to find solution in 1200 iterations and 404 function evals
311 1.857185 8.241330
245 1.881973 7.016590
289 1.867341 7.739534
224 1.869889 7.613656
287 1.848617 8.664640
335 1.945875 3.859387
219 1.935035 4.394960
258 1.843715 8.906829
237 1.936802 4.307641
128 1.919888 5.143328
235 1.937131 4.291384
255 2.016294 0.380159
261 1.927114 4.786329
201 1.983056 2.022353
222 1.874138 7.403719
350 1.949767 3.667063
239 1.961445 3.090119
259 1.877736 7.225948
343 1.940935 4.103439
330 1.927122 4.785938
311 1.968106 2.760996
293 1.913181 5.474722
356 1.889544 6.642526
293 1.893379 6.453091
211 1.910458 5.609226
304 1.821818 9.988714
295 1.921677 5.054917
359 1.861132 8.046288
115 1.850732 8.560129
246 1.934854 4.403919
303 1.885190 6.857683
349 1.957729 3.273716
failed to find solution in 1200 iterations and 399 function evals
262 1.916944 5.288774
285 1.888816 6.678525
254 1.835755 9.300143
297 1.939008 4.198643
298 1.952453 3.534398
224 1.942517 4.025282
200 1.942130 4.044394
283 1.876692 7.277511
265 1.896494 6.299183
failed to find solution in 1200 iterations and 385 function evals
175 1.850534 8.569955
403 1.918316 5.221018
253 1.938514 4.223050
275 1.942868 4.007940
301 1.859399 8.131947
failed to find solution in 1200 iterations and 396 function evals
250 1.870042 7.606100
293 1.846529 8.767784
287 1.840916 9.045155
131 1.881184 7.055576
223 1.902384 6.008164
209 1.834304 9.371832
232 1.891516 6.545095
267 1.921902 5.043843
219 1.944412 3.931683
17 1.957599 3.280115
59 1.862430 7.982192
failed to find solution in 1200 iterations and 392 function evals
268 1.931338 4.577601
191 1.866822 7.765201
failed to find solution in 1200 iterations and 392 function evals
412 1.915830 5.343814
307 1.833140 9.429315
264 1.917127 5.279760
254 1.956374 3.340643
325 1.965327 2.898290
237 1.910375 5.613350
failed to find solution in 1200 iterations and 374 function evals
247 1.888957 6.671539
222 1.874128 7.404208
failed to find solution in 1200 iterations and 381 function evals
242 1.914821 5.393701
241 1.913658 5.451133
243 2.005813 0.897982
193 1.908071 5.727188
7 1.909480 5.657585
201 1.824467 9.857827
289 1.838576 9.160726
193 1.938369 4.230233
failed to find solution in 1200 iterations and 396 function evals
257 1.845838 8.801937
324 1.945247 3.890426
285 1.910085 5.627659
268 1.904724 5.892564
193 1.852802 8.457869
396 1.943044 3.999234
failed to find solution in 1200 iterations and 384 function evals
265 1.822267 9.966507
156 1.908676 5.697279
309 1.911184 5.573383
305 1.866502 7.780981
296 1.978378 2.253472
273 1.887564 6.740371
252 1.931257 4.581632
294 1.929526 4.667152
264 1.967856 2.773373
126 1.975055 2.417666
331 1.909849 5.639309
239 1.891207 6.560394
251 1.840243 9.078372
294 1.822998 9.930397
222 1.930180 4.634838
259 1.830747 9.547550
208 1.929627 4.662175
failed to find solution in 1200 iterations and 371 function evals
308 1.949095 3.700280
334 1.920812 5.097687
220 1.909500 5.656591
220 1.927033 4.790330
257 1.827538 9.706125
320 1.914575 5.405832
failed to find solution in 1200 iterations and 370 function evals
failed to find solution in 1200 iterations and 385 function evals
344 1.964508 2.938758
219 1.912277 5.519350
240 1.957291 3.295361
235 2.018184 0.286759
207 1.907441 5.758295
200 1.873360 7.442138
282 1.943384 3.982475
259 1.960576 3.133033
271 1.886149 6.810310
262 1.900482 6.102152
302 1.929504 4.668206
304 1.915840 5.343326
failed to find solution in 1200 iterations and 400 function evals
318 1.938469 4.225273
failed to find solution in 1200 iterations and 380 function evals
302 1.877349 7.245091
351 1.924537 4.913632
298 1.857618 8.219920
337 1.859664 8.118862
failed to find solution in 1200 iterations and 403 function evals
failed to find solution in 1200 iterations and 383 function evals
failed to find solution in 1200 iterations and 379 function evals
